epoch,split,total_loss,task_loss_pathmnist,pathmnist_accuracy,pathmnist_f1_macro,pathmnist_loss,avg_f1_macro
0,train,0.7525471255310581,0.7526234678733044,0.9001736111111112,0.899776617193337,0.7526234678733044,0.899776617193337
0,val,0.561974722146988,0.5620375782251358,0.9778088764494203,0.9774858211139128,0.5620375782251358,0.9774858211139128
1,train,0.5557639851869002,0.555861112398979,0.9777199074074074,0.9776831749543402,0.555861112398979,0.9776831749543402
1,val,0.5205326855182648,0.5205850943922996,0.989204318272691,0.9890550592899743,0.5205850943922996,0.9890550592899743
2,train,0.5264857793465639,0.5265726754468391,0.9870348112535613,0.9870135485405691,0.5265726754468391,0.9870135485405691
2,val,0.5083795346319675,0.5084104426205158,0.9930027988804478,0.9929868078832675,0.5084104426205158,0.9929868078832675
3,train,0.5144515074046588,0.5145156228134775,0.9907518696581197,0.9907823553471595,0.5145156228134775,0.9907823553471595
3,val,0.5016204923391342,0.5016218706965446,0.995201919232307,0.995243063500908,0.5016218706965446,0.995243063500908
4,train,0.5078019044677756,0.507839343486688,0.9931668447293447,0.993153357330101,0.507839343486688,0.993153357330101
4,val,0.49856610000133517,0.4985468916594982,0.9948020791683326,0.9947864757835505,0.4985468916594982,0.9947864757835505
5,train,0.5065691082226245,0.5066019581933306,0.9932892628205128,0.9932714506692641,0.5066019581933306,0.9932714506692641
5,val,0.49968853369355204,0.49967359378933907,0.9951019592163135,0.9950774031957843,0.49967359378933907,0.9950774031957843
6,train,0.5052571244898685,0.5052823249431078,0.9937121616809117,0.9937213055491042,0.5052823249431078,0.9937213055491042
6,val,0.500375784188509,0.5003639958798886,0.9947021191523391,0.9948165789344324,0.5003639958798886,0.9948165789344324
7,train,0.5044444396964505,0.5044638876222137,0.994079415954416,0.9941066727328689,0.5044638876222137,0.9941066727328689
7,val,0.4994920365512371,0.4994721584022045,0.9948020791683326,0.9947558915759307,0.4994721584022045,0.9947558915759307
8,train,0.5048245760450336,0.5048472767541891,0.9939236111111112,0.9939067355922011,0.5048472767541891,0.9939067355922011
8,val,0.5003451712429523,0.5003306850790977,0.9946021591363454,0.9945409789002243,0.5003306850790977,0.9945409789002243
9,train,0.5060454370968702,0.506079433395652,0.9935118411680912,0.9934970491756814,0.506079433395652,0.9934970491756814
9,val,0.5038036279380321,0.5038172356784344,0.9936025589764095,0.9934453728748402,0.5038172356784344,0.9934453728748402
10,train,0.5060744481718439,0.5061101045703617,0.9933782941595442,0.9933617550755159,0.5061101045703617,0.9933617550755159
10,val,0.5013211697340012,0.5013077698647976,0.9944022391043582,0.9943399415765872,0.5013077698647976,0.9943399415765872
11,train,0.5052031593614834,0.5052301469351831,0.9937121616809117,0.9937150011281128,0.5052301469351831,0.9937150011281128
11,val,0.5020791172981263,0.5020737051963806,0.9941023590563774,0.9939727511364035,0.5020737051963806,0.9939727511364035
12,train,0.5055619963044115,0.5055927764146756,0.9935340990028491,0.9935321597876745,0.5055927764146756,0.9935321597876745
12,val,0.5020839802920818,0.5020771466195584,0.9948020791683326,0.9946512789476011,0.5020771466195584,0.9946512789476011
13,train,0.5074256923463609,0.5074788862653608,0.9929665242165242,0.9929695167608599,0.5074788862653608,0.9929695167608599
13,val,0.5009458750486374,0.5009145393967629,0.9946021591363454,0.9945465895022783,0.5009145393967629,0.9945465895022783
14,train,0.5053031920877278,0.5053302925876063,0.9936899038461539,0.993699364777345,0.5053302925876063,0.993699364777345
14,val,0.5091025456786156,0.5091745436191559,0.992702918832467,0.9926137425327529,0.5091745436191559,0.9926137425327529
15,train,0.5036887665759464,0.5036998404736532,0.9940460292022792,0.9940457168371394,0.5036998404736532,0.9940457168371394
15,val,0.5002617999911309,0.5002425439655781,0.9941023590563774,0.993936983472665,0.5002425439655781,0.993936983472665
16,train,0.5023037764930997,0.5023066495728289,0.9944132834757835,0.9944140657218011,0.5023066495728289,0.9944140657218011
16,val,0.49819283932447433,0.4981714330613613,0.9953018792483007,0.9952343572487076,0.4981714330613613,0.9952343572487076
17,train,0.501378343570606,0.501379034882597,0.9950365028490028,0.9950452739500992,0.501379034882597,0.9950452739500992
17,val,0.5041837334632874,0.5041954085230828,0.992203118752499,0.9921847531573386,0.5041954085230828,0.9921847531573386
18,train,0.5023371392165833,0.5023421760637876,0.9946469907407407,0.9946309546638119,0.5023421760637876,0.9946309546638119
18,val,0.5039972916245461,0.504009734094143,0.9929028388644542,0.9927784877039593,0.504009734094143,0.9927784877039593
19,train,0.5001742407637104,0.500172609447414,0.9951811787749287,0.995180549558719,0.500172609447414,0.995180549558719
19,val,0.4969605147838593,0.4969553269445896,0.9955017992802879,0.9953793820833172,0.4969553269445896,0.9953793820833172
20,train,0.5004199352699128,0.5004199243169225,0.9950365028490028,0.9950293180539571,0.5004199243169225,0.9950293180539571
20,val,0.5020731583237648,0.502074870467186,0.9931027588964414,0.9930602773333772,0.502074870467186,0.9930602773333772
21,train,0.4991607546296894,0.4991605712307824,0.9957042378917379,0.9956960563922043,0.4991605712307824,0.9956960563922043
21,val,0.49640859961509703,0.4964123837649822,0.9953018792483007,0.9952829097039724,0.4964123837649822,0.9952829097039724
22,train,0.49802213618558355,0.498024969443976,0.9960826210826211,0.9960823334698118,0.498024969443976,0.9960823334698118
22,val,0.4978909373283386,0.4978950247168541,0.9956017592962815,0.9955319363467218,0.4978950247168541,0.9955319363467218
23,train,0.4988238023556875,0.4988252337162311,0.9956485933048433,0.9956579782065325,0.4988252337162311,0.9956579782065325
23,val,0.5038405388593674,0.5038324169814586,0.992203118752499,0.9920874781862228,0.5038324169814586,0.9920874781862228
