epoch,split,total_loss,task_loss_octmnist,octmnist_accuracy,octmnist_f1_macro,octmnist_loss,avg_f1_macro
0,train,1.3313363203876898,1.3319469153881074,0.3686266447368421,0.36623515384842475,1.3319469153881074,0.36623515384842475
0,val,1.2835962827815566,1.2847097391305968,0.43722304283604135,0.4009910215877568,1.2847097391305968,0.4009910215877568
1,train,1.191068465772428,1.192834374779149,0.48372738486842104,0.4805987916367286,1.192834374779149,0.4805987916367286
1,val,1.0116644293762918,1.013598765051642,0.681314623338257,0.5252151989507448,1.013598765051642,0.5252151989507448
2,train,1.0830754818100679,1.08623460468493,0.5647203947368421,0.5599546295249047,1.08623460468493,0.5599546295249047
2,val,0.8968468072802521,0.8996953451356222,0.7151033973412112,0.6199318343295184,0.8996953451356222,0.6199318343295184
3,train,0.9975212723016739,1.0022141360922863,0.6258223684210527,0.623450222040268,1.0022141360922863,0.623450222040268
3,val,0.9550046158391375,0.960380915985551,0.6259231905465288,0.5990593815357309,0.960380915985551,0.5990593815357309
4,train,0.9047680105033674,0.9105435973719547,0.69140625,0.6891350262025607,0.9105435973719547,0.6891350262025607
4,val,0.72920839315237,0.7330168970795565,0.8084379615952733,0.7357961776398745,0.7330168970795565,0.7357961776398745
5,train,0.8156910628080368,0.8217171450978831,0.7479543585526316,0.747347293067327,0.8217171450978831,0.747347293067327
5,val,0.6194035313850226,0.6219097264977389,0.8690915805022157,0.796731237351571,0.6219097264977389,0.796731237351571
6,train,0.7667736845581155,0.7732928735645194,0.7790193256578948,0.7784992627035636,0.7732928735645194,0.7784992627035636
6,val,0.6428446270698724,0.6466885721960733,0.8520125553914328,0.7851024173743617,0.6466885721960733,0.7851024173743617
7,train,0.7308855558696546,0.738000132849342,0.7992907072368421,0.7986018209061663,0.738000132849342,0.7986018209061663
7,val,0.6217296608658724,0.6257734700690868,0.8658604135893648,0.8052806076874229,0.6257734700690868,0.8052806076874229
8,train,0.6919953319587205,0.699276749397579,0.8205386513157895,0.8200559566861406,0.699276749397579,0.8200559566861406
8,val,0.5418085726194604,0.5431806999583577,0.9085118168389956,0.8500851389751809,0.5431806999583577,0.8500851389751809
9,train,0.6683734896935914,0.6761071230235852,0.8327816611842105,0.8321986213639335,0.6761071230235852,0.8321986213639335
9,val,0.5520346344903458,0.5541581608528314,0.9052806499261448,0.8505672467724374,0.5541581608528314,0.8505672467724374
10,train,0.6457563285764895,0.653720402560736,0.8447060032894737,0.8441859394215294,0.653720402560736,0.8441859394215294
10,val,0.5472765024318251,0.5493483238442,0.9034342688330872,0.8465177807637173,0.5493483238442,0.8465177807637173
11,train,0.6298356721275731,0.6380470871925354,0.853772615131579,0.8535617776416698,0.6380470871925354,0.8535617776416698
11,val,0.5207748121993486,0.5208759425684463,0.920605612998523,0.867768699604874,0.5208759425684463,0.867768699604874
12,train,0.6190915098315791,0.6275871697225068,0.8592722039473685,0.8588633179544815,0.6275871697225068,0.8588633179544815
12,val,0.5272659444531729,0.527690497941749,0.9175590841949779,0.8668632648413481,0.527690497941749,0.8668632648413481
13,train,0.6020073893823121,0.6098046944329613,0.8687705592105263,0.8682804122194765,0.6098046944329613,0.8682804122194765
13,val,0.5091679442760556,0.5073719731597013,0.9233751846381093,0.8753168212092399,0.5073719731597013,0.8753168212092399
14,train,0.5858821712042156,0.5924974634459145,0.8786081414473684,0.878358794694062,0.5924974634459145,0.878358794694062
14,val,0.5329396045485209,0.5334720847218536,0.9087887740029542,0.8626629148866265,0.5334720847218536,0.8626629148866265
15,train,0.5741353717289472,0.5795839755158675,0.8850740131578947,0.8848848632256288,0.5795839755158675,0.8848848632256288
15,val,0.4964597239050754,0.4923288787520209,0.9331610044313147,0.8923962136715936,0.4923288787520209,0.8923962136715936
16,train,0.5609747520402858,0.5648418333185347,0.8930407072368421,0.8930687240480147,0.5648418333185347,0.8930687240480147
16,val,0.47762936630914377,0.47115848785222963,0.9439623338257016,0.9069678562544933,0.47115848785222963,0.9069678562544933
17,train,0.5464330693608836,0.548543195348037,0.9014391447368421,0.9013540858173203,0.548543195348037,0.9013540858173203
17,val,0.5266559602216233,0.5265030451985293,0.9157127031019202,0.8721186457799305,0.5265030451985293,0.8721186457799305
18,train,0.5402606539036098,0.5417596469584264,0.9044202302631579,0.9040988143697466,0.5417596469584264,0.9040988143697466
18,val,0.48182461150856903,0.4771806625432746,0.9407311669128509,0.9019378546275159,0.4771806625432746,0.9019378546275159
19,train,0.5308297746275601,0.5315050127474885,0.9090974506578947,0.9089247876046436,0.5315050127474885,0.9089247876046436
19,val,0.4977396435515825,0.4954481921916784,0.931314623338257,0.8919868239553943,0.4954481921916784,0.8919868239553943
20,train,0.5226500113543712,0.5228109329938888,0.9149259868421052,0.9149038394356823,0.5228109329938888,0.9149038394356823
20,val,0.4624863682791244,0.45805001120234645,0.9494091580502215,0.916676632775256,0.45805001120234645,0.916676632775256
21,train,0.5207245705943359,0.5209453983526481,0.9156352796052631,0.9155135040861427,0.5209453983526481,0.9155135040861427
21,val,0.4568458837132121,0.45289588251779245,0.94903988183161,0.915330752546572,0.45289588251779245,0.915330752546572
22,train,0.5137828105374387,0.5137192535557245,0.918359375,0.918309307644426,0.5137192535557245,0.918309307644426
22,val,0.44752460926078086,0.4439385644225187,0.9554098966026587,0.9253156355904165,0.4439385644225187,0.9253156355904165
23,train,0.511461064297902,0.5114257523103765,0.9202199835526316,0.9202067790072593,0.5114257523103765,0.9202067790072593
23,val,0.45920222443203595,0.4568820734356725,0.947562776957164,0.9147610925257369,0.4568820734356725,0.9147610925257369
24,train,0.5047511479572246,0.5045631259679795,0.9236430921052632,0.9235541302035484,0.5045631259679795,0.9235541302035484
