epoch,split,total_loss,task_loss_dermamnist,dermamnist_accuracy,dermamnist_f1_macro,dermamnist_loss,avg_f1_macro
0,train,1.8642040623558893,1.8642742368910048,0.2782118055555556,0.2722568219321864,1.8642742368910048,0.2722568219321864
0,val,1.6105692386627197,1.6106922030448914,0.423728813559322,0.23875600586808451,1.6106922030448914,0.23875600586808451
1,train,1.8109566944616813,1.811239414744907,0.3109085648148148,0.3041737504959303,1.811239414744907,0.3041737504959303
1,val,1.4638331830501556,1.4641501605510712,0.5084745762711864,0.29834738627919644,1.4641501605510712,0.29834738627919644
2,train,1.7680766185124714,1.7686871864177562,0.3307291666666667,0.32554807631213345,1.7686871864177562,0.32554807631213345
2,val,1.4215812981128693,1.4221767485141754,0.48255234297108673,0.267577432385251,1.4221767485141754,0.267577432385251
3,train,1.7513862406765972,1.7524452209472656,0.33405671296296297,0.3259946708318126,1.7524452209472656,0.3259946708318126
3,val,1.548462301492691,1.5495873093605042,0.45862412761714855,0.27151803832031457,1.5495873093605042,0.27151803832031457
4,train,1.716374816717925,1.7179975112279255,0.3628472222222222,0.3546780242707878,1.7179975112279255,0.3546780242707878
4,val,1.3441374897956848,1.3454914391040802,0.5583250249252243,0.34495078942984997,1.3454914391040802,0.34495078942984997
5,train,1.6741762205406472,1.6763988865746393,0.3800636574074074,0.3705854969027721,1.6763988865746393,0.3705854969027721
5,val,1.3898166120052338,1.3917795717716217,0.5104685942173479,0.3121394851095913,1.3917795717716217,0.3121394851095913
6,train,1.6474115009661074,1.6503211127387152,0.3922164351851852,0.38240347099612293,1.6503211127387152,0.38240347099612293
6,val,1.2852193415164948,1.287489414215088,0.5812562313060817,0.3032594768287304,1.287489414215088,0.3032594768287304
7,train,1.627582448500174,1.6312392508542095,0.3980034722222222,0.389058819139696,1.6312392508542095,0.389058819139696
7,val,1.3761035203933716,1.3792861700057983,0.5583250249252243,0.29681896194235424,1.3792861700057983,0.29681896194235424
8,train,1.5963874569645635,1.600768557301274,0.42563657407407407,0.4174721500011808,1.600768557301274,0.4174721500011808
8,val,1.4727365374565125,1.4769714772701263,0.5064805583250249,0.2917211389384855,1.4769714772701263,0.2917211389384855
9,train,1.577976456394902,1.5830708786293313,0.4168113425925926,0.412298319074459,1.5830708786293313,0.412298319074459
9,val,1.3735595047473907,1.3780543804168701,0.5284147557328016,0.2988027081963831,1.3780543804168701,0.2988027081963831
10,train,1.5227392735304657,1.5284403827455308,0.4544270833333333,0.4500470823999453,1.5284403827455308,0.4500470823999453
10,val,1.2216259241104126,1.2259488105773926,0.6360917248255235,0.3613549021402029,1.2259488105773926,0.3613549021402029
11,train,1.5164205233256023,1.5228967622474388,0.4605034722222222,0.4565932821031899,1.5228967622474388,0.4565932821031899
11,val,1.2926672995090485,1.2980151772499084,0.5812562313060817,0.3736594106875702,1.2980151772499084,0.3736594106875702
12,train,1.4873335758845012,1.494333311363503,0.4769965277777778,0.4717545743516292,1.494333311363503,0.4717545743516292
12,val,1.4176152348518372,1.4244514405727386,0.5403788634097707,0.38203844010923976,1.4244514405727386,0.38203844010923976
13,train,1.488227817747328,1.4959334709026195,0.4752604166666667,0.4721674943818757,1.4959334709026195,0.4721674943818757
13,val,1.376666635274887,1.3838342428207397,0.5343968095712861,0.28193366443504214,1.3838342428207397,0.28193366443504214
14,train,1.4541388750076294,1.4623558830331873,0.4874131944444444,0.4837314618749002,1.4623558830331873,0.4837314618749002
14,val,1.299958735704422,1.3072143197059631,0.5682951146560319,0.40963944108031025,1.3072143197059631,0.40963944108031025
15,train,1.4716536336474948,1.4808602730433147,0.4826388888888889,0.481596233817525,1.4808602730433147,0.481596233817525
15,val,1.1707457602024078,1.1773488521575928,0.6450648055832503,0.43323672132801283,1.1773488521575928,0.43323672132801283
16,train,1.420652323298984,1.4300824536217585,0.5056423611111112,0.5048044194342859,1.4300824536217585,0.5048044194342859
16,val,1.963704764842987,1.979416012763977,0.35992023928215355,0.23845927968216588,1.979416012763977,0.23845927968216588
17,train,1.423538053477252,1.433786529081839,0.5122974537037037,0.5073079210365432,1.433786529081839,0.5073079210365432
17,val,1.1308355033397675,1.1381089389324188,0.6809571286141576,0.41811318476190124,1.1381089389324188,0.41811318476190124
18,train,1.3775377450165924,1.388050295688488,0.5311053240740741,0.5273925577974274,1.388050295688488,0.5273925577974274
18,val,1.4661926329135895,1.4782885909080505,0.5174476570289133,0.37100985913988643,1.4782885909080505,0.37100985913988643
19,train,1.3735878644166168,1.3850164104391027,0.5380497685185185,0.5337291775602676,1.3850164104391027,0.5337291775602676
19,val,1.3143779635429382,1.325482964515686,0.5782652043868395,0.34767460144132784,1.325482964515686,0.34767460144132784
20,train,1.3196588533895988,1.3312115757553666,0.5601851851851852,0.5550102642057722,1.3312115757553666,0.5550102642057722
20,val,1.477594405412674,1.4918368756771088,0.4955134596211366,0.3643295693779499,1.4918368756771088,0.3643295693779499
21,train,1.3741169373194377,1.387188986495689,0.5355902777777778,0.5352022184719134,1.387188986495689,0.5352022184719134
21,val,1.301152527332306,1.313492089509964,0.5812562313060817,0.3515274203627746,1.313492089509964,0.3515274203627746
22,train,1.3232119039252952,1.336193875030235,0.5646701388888888,0.5607087731442985,1.336193875030235,0.5607087731442985
22,val,1.3356630504131317,1.3491948544979095,0.5812562313060817,0.4314554886523962,1.3491948544979095,0.4314554886523962
23,train,1.3023846414354112,1.3157216133894745,0.5737847222222222,0.5725284310392601,1.3157216133894745,0.5725284310392601
23,val,1.1581226289272308,1.169343650341034,0.6420737786640079,0.4287923047892616,1.169343650341034,0.4287923047892616
24,train,1.3199220012735438,1.3342388117754902,0.5532407407407407,0.5525429276447286,1.3342388117754902,0.5525429276447286
24,val,1.19221830368042,1.2045843005180359,0.5972083748753739,0.44275037889344315,1.2045843005180359,0.44275037889344315
25,train,1.2593202281881262,1.2732598958192047,0.5949074074074074,0.590774185428054,1.2732598958192047,0.590774185428054
25,val,1.2488199472427368,1.2629461586475372,0.6051844466600199,0.4061759211018738,1.2629461586475372,0.4061759211018738
26,train,1.2602885961532593,1.2749541821303192,0.5870949074074074,0.5835447877767629,1.2749541821303192,0.5835447877767629
26,val,1.3306420147418976,1.3470952212810516,0.555333998005982,0.39266427681362454,1.3470952212810516,0.39266427681362454
27,train,1.240455287474173,1.255423210285328,0.5928819444444444,0.5893241152016495,1.255423210285328,0.5893241152016495
27,val,1.247761845588684,1.2632278203964233,0.6121635094715853,0.43277964389798923,1.2632278203964233,0.43277964389798923
28,train,1.2104796038733587,1.2255369204062003,0.6061921296296297,0.6037325481138032,1.2255369204062003,0.6037325481138032
28,val,1.3715910613536835,1.3905995786190033,0.5732801595214357,0.37466133294975107,1.3905995786190033,0.37466133294975107
29,train,1.219866152162905,1.2359141641192966,0.6070601851851852,0.6026654326702207,1.2359141641192966,0.6026654326702207
29,val,1.145069420337677,1.1597558856010437,0.6081754735792622,0.42303522388738807,1.1597558856010437,0.42303522388738807
30,train,1.2055801109031394,1.2219066575721458,0.6161747685185185,0.6135331346301168,1.2219066575721458,0.6135331346301168
30,val,1.1152153611183167,1.1296473443508148,0.6550348953140578,0.44251391507826454,1.1296473443508148,0.44251391507826454
31,train,1.2050013762933236,1.2217692180916115,0.6231192129629629,0.6236688918404631,1.2217692180916115,0.6236688918404631
31,val,1.3911307752132416,1.412695586681366,0.5343968095712861,0.4047467045732792,1.412695586681366,0.4047467045732792
32,train,1.1768336649294253,1.1935029824574788,0.6189236111111112,0.6177175478578409,1.1935029824574788,0.6177175478578409
32,val,1.1747221946716309,1.1917031705379486,0.5952143569292123,0.4445593678492684,1.1917031705379486,0.4445593678492684
33,train,1.1881084044774373,1.2057425225222553,0.6215277777777778,0.6207693889231315,1.2057425225222553,0.6207693889231315
33,val,1.2094134390354156,1.2279324233531952,0.617148554336989,0.42334750287985995,1.2279324233531952,0.42334750287985995
34,train,1.1672364782404017,1.1849603299741391,0.6397569444444444,0.6371135151501737,1.1849603299741391,0.6371135151501737
34,val,1.2510623931884766,1.271420180797577,0.580259222333001,0.44844821545076946,1.271420180797577,0.44844821545076946
35,train,1.1516018311182659,1.16954329278734,0.6385995370370371,0.6377186104721991,1.16954329278734,0.6377186104721991
35,val,1.1027665734291077,1.1196507215499878,0.654037886340977,0.4870869353638936,1.1196507215499878,0.4870869353638936
36,train,1.1168906335477475,1.134405665927463,0.6585648148148148,0.6515707618998176,1.134405665927463,0.6515707618998176
36,val,1.0876381993293762,1.1045531630516052,0.6719840478564307,0.5211173138959543,1.1045531630516052,0.5211173138959543
37,train,1.1305616873281974,1.1490068523972123,0.6526331018518519,0.6520362555938684,1.1490068523972123,0.6520362555938684
37,val,1.1179583668708801,1.1363584399223328,0.6420737786640079,0.47101025123464135,1.1363584399223328,0.47101025123464135
38,train,1.13257716761695,1.1516940152203594,0.6574074074074074,0.6511386583437326,1.1516940152203594,0.6511386583437326
38,val,1.197501391172409,1.2189051508903503,0.5682951146560319,0.46430646217163674,1.2189051508903503,0.46430646217163674
39,train,1.1051892748585455,1.1240066466508087,0.6631944444444444,0.6576483852639258,1.1240066466508087,0.6576483852639258
39,val,1.218077689409256,1.2407745718955994,0.576271186440678,0.45826478318582203,1.2407745718955994,0.45826478318582203
40,train,1.123658365673489,1.1435883751621954,0.6536458333333334,0.6523706201130033,1.1435883751621954,0.6523706201130033
40,val,1.1405205130577087,1.1612565517425537,0.6490528414755733,0.46539064433437616,1.1612565517425537,0.46539064433437616
41,train,1.0740780742080123,1.0928610695732965,0.6822916666666666,0.6803162039733504,1.0928610695732965,0.6803162039733504
41,val,1.0733908116817474,1.0924108922481537,0.6779661016949152,0.5281302483006894,1.0924108922481537,0.5281302483006894
42,train,1.0884402063157823,1.108180390463935,0.6725983796296297,0.6684189315914263,1.108180390463935,0.6684189315914263
42,val,1.2409039735794067,1.2661376595497131,0.5682951146560319,0.4820420951823307,1.2661376595497131,0.4820420951823307
43,train,1.0873655720993325,1.1075116925769382,0.6723090277777778,0.6726540287823769,1.1075116925769382,0.6726540287823769
43,val,1.196001410484314,1.2201814353466034,0.609172482552343,0.44702890619679764,1.2201814353466034,0.44702890619679764
44,train,1.0777928917496293,1.098006906332793,0.6814236111111112,0.6796974254263769,1.098006906332793,0.6796974254263769
44,val,1.1151487827301025,1.1369530260562897,0.6490528414755733,0.506993896752629,1.1369530260562897,0.506993896752629
45,train,1.0693301072827093,1.089747146323875,0.6847511574074074,0.6815763181733814,1.089747146323875,0.6815763181733814
45,val,1.14962437748909,1.1732885241508484,0.6041874376869392,0.53273015145293,1.1732885241508484,0.53273015145293
46,train,1.0510009460979037,1.0712745896092168,0.6899594907407407,0.6901813363413858,1.0712745896092168,0.6901813363413858
46,val,1.078759878873825,1.100350797176361,0.6600199401794616,0.5147937134298333,1.100350797176361,0.5147937134298333
47,train,1.0287383574026603,1.0486217317757782,0.7038483796296297,0.7003440926201161,1.0486217317757782,0.7003440926201161
47,val,1.18767911195755,1.2139051258563995,0.6051844466600199,0.5460742056826539,1.2139051258563995,0.5460742056826539
48,train,1.0251989276320845,1.0452994196503251,0.7042824074074074,0.6990133079699719,1.0452994196503251,0.6990133079699719
48,val,1.1646389663219452,1.1903980672359467,0.5942173479561316,0.5038736024157866,1.1903980672359467,0.5038736024157866
49,train,1.017804741859436,1.03796390692393,0.7146990740740741,0.7106541848868491,1.03796390692393,0.7106541848868491
49,val,1.1252941191196442,1.149935096502304,0.5922233300099701,0.4993105162646189,1.149935096502304,0.4993105162646189
50,train,1.0330920969998394,1.0542172414285165,0.7028356481481481,0.7010034257857465,1.0542172414285165,0.7010034257857465
50,val,1.1097619235515594,1.134216845035553,0.6510468594217348,0.5101331941904086,1.134216845035553,0.5101331941904086
51,train,1.007720086309645,1.028184003300137,0.7132523148148148,0.715126596466685,1.028184003300137,0.715126596466685
51,val,1.085253655910492,1.1091512441635132,0.6590229312063809,0.5278954170314857,1.1091512441635132,0.5278954170314857
52,train,1.0013553765085008,1.0219347918475117,0.7203414351851852,0.7202245057309623,1.0219347918475117,0.7202245057309623
52,val,1.0823088884353638,1.1064979135990143,0.6650049850448654,0.5158596006368626,1.1064979135990143,0.5158596006368626
53,train,0.9855201266430043,1.00577136543062,0.7174479166666666,0.7138376522467942,1.00577136543062,0.7138376522467942
53,val,1.1553604900836945,1.1830845475196838,0.6151545363908275,0.549564368451605,1.1830845475196838,0.549564368451605
54,train,0.9778700294318022,0.998091995716095,0.7330729166666666,0.7290811683156091,0.998091995716095,0.7290811683156091
54,val,1.1100499331951141,1.136209398508072,0.6620139581256231,0.5335571138591246,1.136209398508072,0.5335571138591246
55,train,0.9798879557185702,1.0005116219873782,0.7262731481481481,0.7215162670716693,1.0005116219873782,0.7215162670716693
55,val,1.0226024240255356,1.0452735126018524,0.6809571286141576,0.5560402539047934,1.0452735126018524,0.5560402539047934
56,train,0.9839808896735862,1.0050782318468447,0.7298900462962963,0.7251825412768749,1.0050782318468447,0.7251825412768749
56,val,1.0977563858032227,1.1241153478622437,0.6520438683948155,0.5586756963857804,1.1241153478622437,0.5586756963857804
57,train,0.9629558368965432,0.9833660412717748,0.7372685185185185,0.73188387656199,0.9833660412717748,0.73188387656199
57,val,1.045488864183426,1.0697808265686035,0.6909272183449651,0.5609406730295481,1.0697808265686035,0.5609406730295481
58,train,0.967425854117782,0.9882998554794876,0.7345196759259259,0.7330248473968803,0.9882998554794876,0.7330248473968803
58,val,1.063230276107788,1.0886509418487549,0.6689930209371885,0.5547969332180912,1.0886509418487549,0.5547969332180912
59,train,0.9671454142641138,0.9882580704159207,0.73046875,0.7297249581799553,0.9882580704159207,0.7297249581799553
59,val,1.130766212940216,1.1596210896968842,0.6251246261216351,0.5624192128978931,1.1596210896968842,0.5624192128978931
60,train,0.9509923325644599,0.9715832008255852,0.7421875,0.742065383379975,0.9715832008255852,0.742065383379975
60,val,1.1228383779525757,1.151658296585083,0.6241276171485544,0.5333796795575433,1.151658296585083,0.5333796795575433
61,train,0.9483837639843976,0.9690824173114918,0.7414641203703703,0.7364447597943709,0.9690824173114918,0.7364447597943709
61,val,1.1473974585533142,1.177702635526657,0.634097706879362,0.5667116185556271,1.177702635526657,0.5667116185556271
62,train,0.935308661725786,0.9555957118670145,0.7504340277777778,0.7490228434840182,0.9555957118670145,0.7490228434840182
62,val,1.044703871011734,1.0703516006469727,0.6669990029910269,0.5580823879178396,1.0703516006469727,0.5580823879178396
63,train,0.9241672952969869,0.9440860461305689,0.7544849537037037,0.7498720328930402,0.9440860461305689,0.7498720328930402
63,val,1.1231002807617188,1.152756541967392,0.6410767696909272,0.5643849796736263,1.152756541967392,0.5643849796736263
64,train,0.935996225586644,0.9566695822609795,0.7456597222222222,0.7460338014176349,0.9566695822609795,0.7460338014176349
64,val,1.1482829749584198,1.1794560849666595,0.6021934197407777,0.5447720720822747,1.1794560849666595,0.5447720720822747
65,train,0.9128254276734812,0.9325514943511398,0.7627314814814815,0.7632362023778508,0.9325514943511398,0.7632362023778508
