epoch,split,total_loss,task_loss_octmnist,octmnist_accuracy,octmnist_f1_macro,octmnist_loss,avg_f1_macro
0,train,0.6890739277789467,0.6891213987218706,0.8217208059210527,0.8213111761460563,0.6891213987218706,0.8213111761460563
0,val,0.45241773890894516,0.452377061511195,0.9531942392909897,0.919232711092828,0.452377061511195,0.919232711092828
1,train,0.4875989852767242,0.4875947419750063,0.9352590460526315,0.9350914865694088,0.4875947419750063,0.9350914865694088
1,val,0.4323580916537795,0.4323657161967699,0.9613183161004432,0.9354781790271967,0.4323657161967699,0.9354781790271967
2,train,0.45624213932376156,0.4563594204030539,0.9495168585526316,0.9494327177721306,0.4563594204030539,0.9494327177721306
2,val,0.4238891116408415,0.42428686937620474,0.9644571639586411,0.9404855472568668,0.42428686937620474,0.9404855472568668
3,train,0.4401425558485483,0.44068623640035326,0.9576480263157895,0.9576261597455544,0.44068623640035326,0.9576261597455544
3,val,0.4245756871478502,0.4255412990270659,0.9670420974889217,0.9450916819936311,0.4255412990270659,0.9450916819936311
4,train,0.43280015485851386,0.4339292428211162,0.9604749177631579,0.9604814831793768,0.4339292428211162,0.9604814831793768
4,val,0.4153452591840611,0.4171180191428162,0.9700886262924667,0.9496298930113923,0.4171180191428162,0.9496298930113923
5,train,0.4245578467845917,0.42645400872356015,0.9643092105263158,0.9642775257690862,0.42645400872356015,0.9642775257690862
5,val,0.41383012089618415,0.4163840863593789,0.9683345642540621,0.9475199781933064,0.4163840863593789,0.9475199781933064
6,train,0.42135446212793654,0.42399840001997197,0.9661389802631579,0.9661429378440876,0.42399840001997197,0.9661429378440876
6,val,0.42242715594380403,0.4253274098385212,0.966857459379616,0.9456310288174873,0.4253274098385212,0.9456310288174873
7,train,0.4176851147099545,0.4211333033285643,0.9678556743421053,0.9678714177581799,0.4211333033285643,0.9678714177581799
7,val,0.40623673311499664,0.41063491133756413,0.9758124076809453,0.9594082841726135,0.41063491133756413,0.9594082841726135
8,train,0.41360436270111484,0.4179448261857033,0.9688630756578948,0.9688363353126371,0.4179448261857033,0.9688363353126371
8,val,0.41205377218335176,0.416820976623269,0.9678729689807977,0.9475272556254734,0.416820976623269,0.9475272556254734
9,train,0.4096000854906283,0.41488395615627893,0.9700143914473685,0.9700183148861896,0.41488395615627893,0.9700183148861896
9,val,0.42371719105299127,0.42818746733111007,0.9651957163958641,0.9435718299797621,0.42818746733111007,0.9435718299797621
10,train,0.40903462014700237,0.4149857608111281,0.9707442434210526,0.9707654578936076,0.4149857608111281,0.9707654578936076
10,val,0.39900127538414887,0.4061538258264231,0.9744276218611522,0.955723109938477,0.4061538258264231,0.955723109938477
11,train,0.40599025017336793,0.4127796951877443,0.9713712993421053,0.9713710627370166,0.4127796951877443,0.9713710627370166
11,val,0.4491002185400142,0.45158240476319955,0.953748153618907,0.9261630455909432,0.45158240476319955,0.9261630455909432
12,train,0.4052034418833883,0.4125656298116634,0.9714740953947368,0.9714654053722356,0.4125656298116634,0.9714654053722356
12,val,0.4065997004508972,0.4140030596145364,0.9711964549483013,0.9527842256382498,0.4140030596145364,0.9527842256382498
13,train,0.40499246418476104,0.4127641707658768,0.971350740131579,0.9713774756195485,0.4127641707658768,0.9713774756195485
13,val,0.3989108253357022,0.40762632045634956,0.9736890694239291,0.9564445729935313,0.40762632045634956,0.9564445729935313
14,train,0.4049874064169432,0.4130406055795519,0.9715152138157894,0.9715541695986039,0.4130406055795519,0.9715541695986039
14,val,0.3965110030285148,0.4058596900729246,0.9734121122599705,0.9547501825993939,0.4058596900729246,0.9547501825993939
15,train,0.3983660277567412,0.40759280457308417,0.9731599506578947,0.9731742366178069,0.40759280457308417,0.9731742366178069
15,val,0.4166807844195255,0.4232515318449153,0.9662112259970458,0.9445929178023432,0.4232515318449153,0.9445929178023432
16,train,0.395955932924622,0.4057676135709411,0.9743729440789474,0.9743887336048953,0.4057676135709411,0.9743887336048953
16,val,0.3994327811307685,0.4087694495223289,0.9746122599704579,0.9572980026657438,0.4087694495223289,0.9572980026657438
17,train,0.3933130484662558,0.40371676244233784,0.9754831414473685,0.9755036374075851,0.40371676244233784,0.9755036374075851
17,val,0.3938283525234045,0.4042075193205545,0.9750738552437223,0.9578212229729403,0.4042075193205545,0.9578212229729403
18,train,0.38944586319358726,0.40064199723695454,0.976953125,0.9769504426509362,0.40064199723695454,0.9769504426509362
18,val,0.4177751561930013,0.423957554406898,0.9665805022156573,0.9466493935611404,0.423957554406898,0.9466493935611404
19,train,0.39014820009469986,0.40130498926890523,0.9763774671052632,0.9764032274834701,0.40130498926890523,0.9764032274834701
