epoch,split,total_loss,task_loss_bloodmnist,bloodmnist_accuracy,bloodmnist_f1_macro,bloodmnist_loss,avg_f1_macro
0,train,1.270756255025449,1.2708009546217711,0.664656929347826,0.661811330553332,1.2708009546217711,0.661811330553332
0,val,0.7158149991716657,0.7158503532409668,0.9176401869158879,0.9124253653952323,0.7158503532409668,0.9124253653952323
1,train,0.6304353631061056,0.630468777988268,0.9481997282608695,0.9482194547052145,0.630468777988268,0.9482194547052145
1,val,0.5699669378144401,0.5699934193066188,0.9690420560747663,0.9687211379353786,0.5699934193066188,0.9687211379353786
2,train,0.5453454683656278,0.5453670245149861,0.9789402173913043,0.9787095891527036,0.5453670245149861,0.9787095891527036
2,val,0.5235807640211922,0.5235946689333234,0.981892523364486,0.9827577016754884,0.5235946689333234,0.9827577016754884
3,train,0.5204985193584276,0.52051231653794,0.9842051630434783,0.9840973926862211,0.52051231653794,0.9840973926862211
3,val,0.5101833811828068,0.5101909807750157,0.985981308411215,0.9867169420609767,0.5101909807750157,0.9867169420609767
4,train,0.5084327796231145,0.5084394410900448,0.987686820652174,0.9876417270146685,0.5084394410900448,0.9876417270146685
4,val,0.4975325720650809,0.4975301921367645,0.9894859813084113,0.9911687042969854,0.4975301921367645,0.9911687042969854
5,train,0.49983498194943304,0.49983463209608325,0.9909137228260869,0.9909885883526882,0.49983463209608325,0.9909885883526882
5,val,0.504889692578997,0.5048938393592834,0.9853971962616822,0.9873078082069477,0.5048938393592834,0.9873078082069477
6,train,0.4929692084374635,0.49296317670656287,0.9932914402173914,0.9932283018647947,0.49296317670656287,0.9932283018647947
6,val,0.49360741887773785,0.493602454662323,0.9906542056074766,0.9920161018492786,0.493602454662323,0.9920161018492786
7,train,0.49553658262543054,0.49553342098775116,0.9913383152173914,0.9914565776174427,0.49553342098775116,0.9914565776174427
7,val,0.5005147286823818,0.5005149330411639,0.9848130841121495,0.9858026443678236,0.5005149330411639,0.9858026443678236
8,train,0.4897999821797661,0.4897950427687686,0.9926970108695652,0.9927075430891386,0.4897950427687686,0.9927075430891386
8,val,0.49956609521593365,0.49956592491694857,0.9889018691588785,0.9886476112780336,0.49956592491694857,0.9886476112780336
9,train,0.48922836780548096,0.48922706557356793,0.9938009510869565,0.9937284412797681,0.48922706557356793,0.9937284412797681
9,val,0.49295452662876676,0.49295525891440256,0.9889018691588785,0.9895737130164792,0.49295525891440256,0.9895737130164792
10,train,0.49228887000809546,0.4922909432131311,0.9913383152173914,0.991349290085116,0.4922909432131311,0.991349290085116
10,val,0.4948271768433707,0.4948294929095677,0.990070093457944,0.990392228264501,0.4948294929095677,0.990392228264501
11,train,0.4935834744702215,0.49358729758988257,0.9910835597826086,0.9912089909529599,0.49358729758988257,0.9912089909529599
11,val,0.4921618274280003,0.49216778363500324,0.9941588785046729,0.9944901564183986,0.49216778363500324,0.9944901564183986
