epoch,split,total_loss,task_loss_pathmnist,task_loss_dermamnist,task_loss_bloodmnist,task_loss_octmnist,pathmnist_accuracy,pathmnist_f1_macro,pathmnist_loss,dermamnist_accuracy,dermamnist_f1_macro,dermamnist_loss,bloodmnist_accuracy,bloodmnist_f1_macro,bloodmnist_loss,octmnist_accuracy,octmnist_f1_macro,octmnist_loss,avg_f1_macro
0,train,6.507833145984053,1.8042911964078103,1.786535081585347,1.5343213653741936,1.3838141655212004,0.366779595392508,0.3490030336946927,1.8042911964078103,0.32019924025118224,0.31029982165198405,1.786535081585347,0.4701540624450823,0.4576521801253873,1.5343213653741936,0.3069093152375077,0.3043773448762282,1.3838141655212004,0.35533309508707306
0,val,1.444472109494002,1.5428796648979186,1.5168822407722473,1.1891359463334084,1.2939552318218142,0.4946021591363455,0.47925075023655456,1.5428796648979186,0.4935194416749751,0.3033560944042562,1.5168822407722473,0.615070093457944,0.5733750911203609,1.1891359463334084,0.4657496307237814,0.3521015124992678,1.2939552318218142,0.4270208620651098
1,train,5.8764602149982315,1.6404630992903604,1.642649132767623,1.2576907742999623,1.339473323993588,0.4470583653040955,0.42989283981670806,1.6404630992903604,0.4014882788402221,0.39436301755071446,1.642649132767623,0.6285463927563042,0.6216418101190236,1.2576907742999623,0.35678129829984545,0.3550276067336274,1.339473323993588,0.45023131855501836
1,val,1.3632155604984448,1.4585848242044448,1.364186942577362,0.9756694734096527,1.2541064356648646,0.5262894842063175,0.5097158870400269,1.4585848242044448,0.5692921236291126,0.37504839136357787,1.364186942577362,0.7406542056074766,0.712753745626216,0.9756694734096527,0.4787666174298375,0.40883680271195444,1.2541064356648646,0.5015887066854439
2,train,5.542772410821087,1.5708029316021845,1.5658122478584497,1.1211816920683935,1.2925638765022713,0.4839054334945704,0.46588588000441156,1.5708029316021845,0.44033232628398794,0.43394613046426855,1.5658122478584497,0.7034933147847593,0.6999955661394774,1.1211816920683935,0.40501680688596575,0.40203454161361263,1.2925638765022713,0.5004655295554425
2,val,1.2956673477006995,1.4137549459934236,1.3134094774723053,0.8696997687220573,1.1778642687686653,0.5532786885245902,0.5356020942942784,1.4137549459934236,0.6011964107676969,0.3884737526425663,1.3134094774723053,0.8060747663551402,0.7835913426598924,0.8696997687220573,0.5422821270310192,0.45731944046562195,1.1778642687686653,0.5412466575155898
3,train,5.312119691602645,1.5228713688720248,1.5183197098689398,1.0379203316887318,1.2455048527078652,0.5086091429680676,0.49422499387850116,1.5228713688720248,0.4682946651444494,0.46502708749401617,1.5183197098689398,0.7471124031007752,0.74407873118316,1.0379203316887318,0.447149897171239,0.4429664681914749,1.2455048527078652,0.5365743201867881
3,val,1.2738539168368215,1.3487045019865036,1.171564668416977,0.8297215104103088,1.2153207035951836,0.6033586565373851,0.593435789839274,1.3487045019865036,0.6660019940179461,0.43599129852206614,1.171564668416977,0.8247663551401869,0.8058011086190355,0.8297215104103088,0.452178729689808,0.42987765148743107,1.2153207035951836,0.5662764621169517
4,train,5.111160263530078,1.4723243265234802,1.4704350978505818,0.9759453805741246,1.2108478569806953,0.5302039621352591,0.5178627128936335,1.4723243265234802,0.4927199953593596,0.49105969519657977,1.4704350978505818,0.7793505893228565,0.7766779704646761,0.9759453805741246,0.473416245627672,0.47085469072789804,1.2108478569806953,0.5641137673206968
4,val,1.190918351645055,1.3145371824502945,1.2601407766342163,0.8153790682554245,1.0667018363642138,0.6153538584566174,0.6096344455871223,1.3145371824502945,0.646061814556331,0.39584054607862074,1.2601407766342163,0.8271028037383178,0.8099440931902223,0.8153790682554245,0.6300775480059084,0.5092108883470312,1.0667018363642138,0.5811574933007491
