epoch,split,total_loss,task_loss_pathmnist,pathmnist_accuracy,pathmnist_f1_macro,pathmnist_loss,avg_f1_macro
0,train,1.5106656112168964,1.5118408121730322,0.5141691856330014,0.5018611023258436,1.5118408121730322,0.5018611023258436
0,val,1.2591876057302875,1.2609900699299612,0.6360455817672931,0.640264629045425,1.2609900699299612,0.640264629045425
1,train,1.3135647113258775,1.317233619869688,0.6053298364153628,0.597346033834941,1.317233619869688,0.597346033834941
1,val,1.1393255359807593,1.1436214689995832,0.6929228308676529,0.6913205878335045,1.1436214689995832,0.6913205878335045
0,train,1.6704102221377555,1.670793233094392,0.4324363425925926,0.41492422815142693,1.670793233094392,0.41492422815142693
0,val,1.3984284967184066,1.3990394085645677,0.568172730907637,0.5531774705113989,1.3990394085645677,0.5531774705113989
1,train,1.4955536796156836,1.4968363287781719,0.5160478988603988,0.5037822579372487,1.4968363287781719,0.5037822579372487
1,val,1.3124674409627914,1.314011710882187,0.6036585365853658,0.59371595242551,1.314011710882187,0.59371595242551
2,train,1.3863395870241344,1.3887012093155473,0.5682202635327636,0.5589034835122352,1.3887012093155473,0.5589034835122352
2,val,1.2379331767559052,1.240475344657898,0.6382447021191523,0.6408574223083439,1.240475344657898,0.6408574223083439
0,train,1.6130657039816223,1.6137880256712607,0.4603699252136752,0.4447103606685992,1.6137880256712607,0.4447103606685992
0,val,1.3471934795379639,1.3483280688524246,0.5929628148740503,0.587174007518406,1.3483280688524246,0.587174007518406
1,train,1.426316579862198,1.4286004882252794,0.546196136039886,0.5357730376584726,1.4286004882252794,0.5357730376584726
1,val,1.2778455913066864,1.2806710064411164,0.6155537784886046,0.6096943294690175,1.2806710064411164,0.6096943294690175
2,train,1.316360926016783,1.3205026476471513,0.6010060541310541,0.5929448666784283,1.3205026476471513,0.5929448666784283
2,val,1.1589957863092422,1.1633076816797256,0.693922431027589,0.6919485087397864,1.1633076816797256,0.6919485087397864
3,train,1.2435521311909385,1.2496493073270531,0.6390669515669516,0.6339655605140644,1.2496493073270531,0.6339655605140644
3,val,1.1187163531780242,1.1248456805944442,0.7041183526589364,0.7001139574065887,1.1248456805944442,0.7001139574065887
