epoch,split,total_loss,task_loss_dermamnist,dermamnist_accuracy,dermamnist_f1_macro,dermamnist_loss,avg_f1_macro
0,train,1.7474585153438427,1.7475176475666188,0.3502604166666667,0.34358514924454864,1.7475176475666188,0.34358514924454864
0,val,1.4782403409481049,1.4783444106578827,0.5333998005982054,0.3146500520282539,1.4783444106578827,0.3146500520282539
1,train,1.2732255105619077,1.273376469258909,0.6177662037037037,0.6132306211302861,1.273376469258909,0.6132306211302861
1,val,1.130618393421173,1.1308096647262573,0.6679960119641076,0.48037438840030566,1.1308096647262573,0.48037438840030566
2,train,1.0297549079965662,1.0299817014623571,0.7297453703703703,0.7310592528832698,1.0299817014623571,0.7310592528832698
2,val,1.031657725572586,1.0319631397724152,0.711864406779661,0.5636181941460905,1.0319631397724152,0.5636181941460905
3,train,0.871886275432728,0.8721555184434961,0.8055555555555556,0.8021933508016057,0.8721555184434961,0.8021933508016057
3,val,1.0454143583774567,1.0459046959877014,0.7028913260219342,0.6203383296613748,1.0459046959877014,0.6203383296613748
4,train,0.7730742604644211,0.7733660516915498,0.8592303240740741,0.8566704200075187,0.7733660516915498,0.8566704200075187
4,val,1.0230170786380768,1.0236788988113403,0.6979062811565304,0.6455548802887504,1.0236788988113403,0.6455548802887504
5,train,0.724577941276409,0.7249061332808601,0.8804976851851852,0.8807611933881471,0.7249061332808601,0.8807611933881471
5,val,0.8682117313146591,0.8688294738531113,0.7956131605184447,0.7075397358492695,0.8688294738531113,0.7075397358492695
6,train,0.6701119807031419,0.6704334484206306,0.9085648148148148,0.9084177375160952,0.6704334484206306,0.9084177375160952
6,val,0.9208101034164429,0.921706885099411,0.769690927218345,0.7044075843498582,0.921706885099411,0.7044075843498582
7,train,0.6530999386752093,0.6534608999888102,0.9156539351851852,0.9172091409684547,0.6534608999888102,0.9172091409684547
7,val,0.8580222725868225,0.8589585423469543,0.7986041874376869,0.7174494181002784,0.8589585423469543,0.7174494181002784
8,train,0.6115394896931119,0.6118571007693255,0.9388020833333334,0.9392633824286821,0.6118571007693255,0.9392633824286821
8,val,0.8139497488737106,0.8149325847625732,0.8285144566301097,0.7248452268925256,0.8149325847625732,0.7248452268925256
9,train,0.5958796938260397,0.5962014860577054,0.9422743055555556,0.9410690528093221,0.5962014860577054,0.9410690528093221
9,val,0.8039587438106537,0.805072620511055,0.8364905284147557,0.746888735666258,0.805072620511055,0.746888735666258
10,train,0.5876108761186953,0.5879535101078175,0.9457465277777778,0.9450214011965247,0.5879535101078175,0.9450214011965247
