epoch,split,total_loss,task_loss_bloodmnist,bloodmnist_accuracy,bloodmnist_f1_macro,bloodmnist_loss,avg_f1_macro
0,train,1.6344150278879248,1.634509379449098,0.41499660326086957,0.3980894664308631,1.634509379449098,0.3980894664308631
0,val,1.2977061782564436,1.2978509664535522,0.5759345794392523,0.507121295359493,1.2978509664535522,0.507121295359493
1,train,1.3956774369530056,1.395972420339999,0.535750679347826,0.5223628729288252,1.395972420339999,0.5223628729288252
1,val,1.2095657076154436,1.209908434322902,0.655373831775701,0.6210759663060919,1.209908434322902,0.6210759663060919
2,train,1.30357853744341,1.3041221654933433,0.5935801630434783,0.5914118894769623,1.3041221654933433,0.5914118894769623
2,val,1.0865740265165056,1.0870859452656336,0.7254672897196262,0.686693011143874,1.0870859452656336,0.686693011143874
3,train,1.2395980435868967,1.2403908656991047,0.6266983695652174,0.617973942923409,1.2403908656991047,0.617973942923409
3,val,0.9690087948526654,0.9696227056639535,0.7856308411214953,0.7534737397902288,0.9696227056639535,0.7534737397902288
4,train,1.1623020223949267,1.163328292577163,0.6756114130434783,0.6680482570700104,1.163328292577163,0.6680482570700104
4,val,1.0341723220688956,1.0351276227406092,0.7389018691588785,0.7007287798185267,1.0351276227406092,0.7007287798185267
5,train,1.1068145801191744,1.1080634490303372,0.7051630434782609,0.700640770096387,1.1080634490303372,0.700640770096387
5,val,0.8989396946770805,0.8998745935303825,0.8387850467289719,0.8229551734186793,0.8998745935303825,0.8229551734186793
6,train,1.06357560209606,1.0650492751080056,0.7300441576086957,0.7238134168276378,1.0650492751080056,0.7238134168276378
6,val,0.924885664667402,0.926124632358551,0.7961448598130841,0.7652624918653729,0.926124632358551,0.7652624918653729
7,train,1.0486520476963208,1.0504173830799435,0.7374320652173914,0.7339246970141701,1.0504173830799435,0.7339246970141701
7,val,0.8432109866823468,0.844399801322392,0.8434579439252337,0.8171100895679911,0.844399801322392,0.8171100895679911
8,train,1.0457166459249414,1.0477744133576103,0.7400645380434783,0.7352209636315666,1.0477744133576103,0.7352209636315666
8,val,0.9262234738894871,0.92798570224217,0.7920560747663551,0.7572089279197608,0.92798570224217,0.7572089279197608
9,train,0.9852208598800327,0.9874346424704012,0.765625,0.7605628402517,0.9874346424704012,0.7605628402517
9,val,0.8248445987701416,0.8264897891453334,0.8679906542056075,0.8505520573830789,0.8264897891453334,0.8505520573830789
10,train,0.9615926794383837,0.9641337420629419,0.7803158967391305,0.7782253873986383,0.9641337420629419,0.7782253873986383
10,val,0.7538836087499347,0.7553891539573669,0.8989485981308412,0.885056775987312,0.7553891539573669,0.885056775987312
11,train,0.9127265914626743,0.9153754387212836,0.8065557065217391,0.806194883339484,0.9153754387212836,0.806194883339484
11,val,0.7534729412623814,0.7552294390542167,0.897196261682243,0.8836315761421853,0.7552294390542167,0.8836315761421853
12,train,0.9549385957095934,0.9583197080570719,0.7815896739130435,0.7806419511974536,0.9583197080570719,0.7806419511974536
12,val,0.7989935193743024,0.8013687900134495,0.8639018691588785,0.8445543586358867,0.8013687900134495,0.8445543586358867
13,train,0.9174510668153348,0.9209742986637613,0.8001019021739131,0.7991106434494273,0.9209742986637613,0.7991106434494273
13,val,0.6916154537882123,0.6933684774807521,0.915303738317757,0.9055939350591062,0.6933684774807521,0.9055939350591062
14,train,0.8788053445194078,0.8825301955575529,0.8219259510869565,0.8191740343249849,0.8825301955575529,0.8191740343249849
14,val,0.6865844556263515,0.6885299342019218,0.915303738317757,0.900383750225438,0.6885299342019218,0.900383750225438
15,train,0.8050645265890204,0.808453257965005,0.8511379076086957,0.8494237375039424,0.808453257965005,0.8494237375039424
15,val,0.6766037600381034,0.6786724414144244,0.9211448598130841,0.9111980095196808,0.6786724414144244,0.9111980095196808
16,train,0.8277882389400316,0.8318429848422175,0.842391304347826,0.8408001818573494,0.8318429848422175,0.8408001818573494
16,val,0.626406729221344,0.6280346257346017,0.9369158878504673,0.9299214930870617,0.6280346257346017,0.9299214930870617
17,train,0.7429311754910842,0.7462468004744985,0.8758491847826086,0.8751882752986492,0.7462468004744985,0.8751882752986492
17,val,0.6521093419619969,0.6542574167251587,0.9228971962616822,0.912953043011681,0.6542574167251587,0.912953043011681
18,train,0.7401385385057201,0.7437000780001931,0.883406929347826,0.8822590100777621,0.7437000780001931,0.8822590100777621
18,val,0.6558743374688285,0.6582691499165126,0.9264018691588785,0.9147308506390885,0.6582691499165126,0.9147308506390885
19,train,0.7287503312463346,0.7324369199897932,0.8855298913043478,0.8857376661686307,0.7324369199897932,0.8857376661686307
19,val,0.6084400415420532,0.6102153318268912,0.9363317757009346,0.9286303939123026,0.6102153318268912,0.9286303939123026
20,train,0.7105908238369486,0.7142366365246151,0.891219429347826,0.8904635099092106,0.7142366365246151,0.8904635099092106
